one_hop_head_tail,one_hop_triple_intersection,two_hop_head_tail,two_hop_triple_intersection,three_hop_head_tail,three_hop_triple_intersection,relation_degree_1hop,label,head,relation,tail
0,0,23,19,61,60,99,0,/m/012bk,/people/person/gender,/m/0gkd1
0,0,2,2,25,24,79,0,/m/02f76h,/people/ethnicity/people,/m/0hskw
2,0,119,17,170,146,18,1,/m/012mrr,/film/film/cinematography,/m/05br10
1,0,31,30,58,57,32,1,/m/0140g4,/award/award_winning_work/awards_won./award/award_honor/honored_for,/m/0946bb
0,0,2,2,25,20,39,0,/m/059rby,/film/film/produced_by,/m/02kxbx3
1,0,121,20,230,151,22,1,/m/0146mv,/organization/organization/headquarters./location/mailing_address/citytown,/m/030qb3t
0,0,83,44,141,137,227,0,/m/013ybx,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02x1dht
1,0,236,235,300,299,237,1,/m/012d40,/film/actor/film./film/performance/film,/m/01f6x7
0,0,1,0,23,4,9,0,/m/012gk9,/film/film/prequel,/m/04kjrv
6,0,562,272,665,614,269,0,/m/0127m7,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0127xk
0,0,48,15,128,106,237,0,/m/012v9y,/film/actor/film./film/performance/film,/m/013dy7
1,0,149,148,177,176,150,1,/m/011j5x,/music/genre/artists,/m/0jn5l
1,0,171,170,241,240,172,1,/m/012x4t,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/016tvq
1,0,17,16,41,40,18,1,/m/0140g4,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,/m/08984j
1,0,7,6,19,18,8,1,/m/0146mv,/tv/tv_network/programs./tv/tv_network_duration/program,/m/017dbx
0,0,4,4,30,29,150,0,/m/011j5x,/music/genre/artists,/m/051hrr
2,0,40,39,83,82,40,1,/m/0136pk,/base/popstra/celebrity/dated./base/popstra/dated/participant,/m/01xv77
1,0,30,4,48,41,26,0,/m/013y1f,/music/performance_role/regular_performances./music/group_membership/group,/m/01vtg4q
1,0,78,77,86,85,79,1,/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/04q7r
4,0,100,19,169,129,18,1,/m/013pk3,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,/m/0159h6
0,0,29,1,82,53,112,0,/m/01s7zw,/people/person/nationality,/m/09c7w0
0,0,23,23,61,60,146,0,/m/07y_7,/people/person/profession,/m/039v1
1,0,119,118,233,232,120,1,/m/010bxh,/common/topic/webpage./common/webpage/category,/m/08mbj5d
0,0,0,0,8,8,25,0,/m/012bk,/location/location/adjoin_s./location/adjoining_relationship/adjoins,/m/07tk7
1,0,114,113,166,165,115,1,/m/0124k9,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/03mdt
0,0,0,0,1,1,146,0,/m/09b_0m,/people/person/profession,/m/02jknp
2,0,43,22,60,56,23,1,/m/010cw1,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0n5j_
1,0,72,71,126,125,73,1,/m/0143wl,/people/person/spouse_s./people/marriage/type_of_union,/m/01g63y
1,0,50,49,85,84,51,1,/m/013807,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/02822
1,0,41,18,140,91,20,1,/m/0127m7,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,/m/09nqf
1,0,2,1,21,20,3,1,/m/012mzw,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,/m/03z19
1,0,145,144,204,203,146,1,/m/013cr,/people/person/profession,/m/02hrh1q
0,0,46,5,97,71,150,0,/m/01k_mc,/music/genre/artists,/m/012ycy
1,0,171,170,241,240,172,1,/m/0146pg,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/0f3m1
0,0,0,0,0,0,120,0,/m/013bd1,/people/person/place_of_birth,/m/02vx4
2,0,25,16,40,37,17,1,/m/0133jj,/base/aareas/schema/administrative_area/administrative_parent,/m/0h7x
0,0,0,0,15,3,32,0,/m/011yr9,/award/award_winning_work/awards_won./award/award_honor/honored_for,/m/03d9d6
1,0,33,32,34,33,34,1,/m/0133k0,/music/genre/parent_genre,/m/0y3_8
0,0,0,0,0,0,10,0,/m/0147dk,/soccer/football_team/current_roster./soccer/football_roster_position/position,/m/02_j1w
1,0,45,42,89,81,44,1,/m/012vf6,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/03d9v8
1,0,268,267,326,325,269,1,/m/012wg,/award/award_nominee/award_nominations./award/award_nomination/award,/m/04njml
1,0,114,113,166,165,115,1,/m/011ywj,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/0l6px
0,0,5,2,33,31,146,0,/m/013cr,/people/person/profession,/m/0jdhp
0,0,1,0,24,5,39,0,/m/01l_w0,/film/film/language,/m/06nm1
1,0,119,118,233,232,120,1,/m/010tkc,/common/topic/webpage./common/webpage/category,/m/08mbj5d
2,0,254,43,311,289,44,1,/m/011zd3,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/019pm_
0,0,4,4,32,31,22,0,/m/012rng,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,/m/029j_
1,0,149,148,177,176,150,1,/m/012yc,/music/genre/artists,/m/01w806h
0,0,47,47,99,98,269,0,/m/0rh6k,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01d38t
0,0,0,0,8,1,45,0,/m/0100mt,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0hfzr
1,0,226,225,282,281,227,1,/m/01309x,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02cx72
0,0,1,1,14,13,48,0,/m/01k3tq,/location/location/time_zones,/m/02hczc
1,0,110,109,150,149,111,1,/m/011yhm,/award/award_winning_work/awards_won./award/award_honor/award,/m/02wypbh
1,0,98,97,153,152,99,1,/m/0139q5,/people/person/gender,/m/02zsn
1,0,68,67,109,108,69,1,/m/01309x,/music/artist/track_contributions./music/track_contribution/role,/m/042v_gx
1,0,20,19,45,44,21,1,/m/01314k,/education/educational_institution/colors,/m/01g5v
0,0,13,4,49,41,112,0,/m/0137hn,/people/person/nationality,/m/012x8m
1,0,113,109,176,152,111,1,/m/011yqc,/award/award_winning_work/awards_won./award/award_honor/award,/m/0gqyl
1,0,268,44,326,321,227,0,/m/01309x,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02x8n1n
1,0,226,225,282,281,227,0,/m/0146mv,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01pp3p
5,0,37,5,128,54,3,1,/m/012fvq,/business/business_operation/assets./measurement_unit/dated_money_value/currency,/m/09nqf
0,0,0,0,0,0,69,0,/m/0140t7,/music/artist/track_contributions./music/track_contribution/role,/m/018jz
1,0,35,34,70,69,36,1,/m/011ypx,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/089fss
0,0,0,0,1,1,90,0,/m/012wgb,/location/location/contains,/m/02ky346
8,0,895,123,982,933,118,1,/m/013knm,/award/award_winner/awards_won./award/award_honor/award_winner,/m/011zd3
0,0,1,0,8,2,99,0,/m/0135xb,/people/person/gender,/m/01s0_f
1,0,236,235,300,299,237,1,/m/0134w7,/film/actor/film./film/performance/film,/m/0dgst_d
1,0,7,6,17,16,8,1,/m/0136kr,/organization/organization/child./organization/organization_relationship/child,/m/01tlyq
1,0,149,148,177,176,150,1,/m/0133_p,/music/genre/artists,/m/01304j
0,0,6,0,32,10,146,0,/m/011lvx,/people/person/profession,/m/07tk7
0,0,0,0,1,0,237,0,/m/016jny,/film/actor/film./film/performance/film,/m/0k4fz
0,0,1,0,15,5,14,0,/m/012v1t,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,/m/01p0vf
0,0,43,42,111,94,269,0,/m/013w8y,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01gvpz
0,0,2,2,27,23,79,0,/m/013xrm,/people/ethnicity/people,/m/0d1pc
1,0,110,109,150,149,111,1,/m/011yrp,/award/award_winning_work/awards_won./award/award_honor/award,/m/0gqng
1,0,149,148,227,226,150,1,/m/0134w7,/people/person/places_lived./people/place_lived/location,/m/0jt5zcn
10,0,219,41,338,227,33,1,/m/013h9,/location/hud_county_place/county,/m/013h9
1,0,226,26,282,275,172,0,/m/013tcv,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/018db8
1,0,273,267,352,330,269,0,/m/0121rx,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0gr4k
1,0,236,43,300,284,269,0,/m/0139q5,/award/award_nominee/award_nominations./award/award_nomination/award,/m/04x4gw
0,0,0,0,0,0,39,0,/m/0gghm,/film/film/produced_by,/m/04t38b
1,0,82,80,124,119,82,1,/m/011yfd,/film/film/genre,/m/05p553
0,0,24,24,57,56,68,0,/m/0556j8,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/015fr
1,0,2,1,9,8,3,1,/m/014635,/organization/organization_member/member_of./organization/organization_membership/organization,/m/03lb_v
0,0,52,2,106,77,30,0,/m/013pp3,/influence/influence_node/influenced_by,/m/09146g
0,0,0,0,2,0,79,0,/m/013y1f,/music/performance_role/track_performances./music/track_contribution/role,/m/04w_7
1,0,277,267,362,334,269,1,/m/012ky3,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02qvyrt
1,0,268,267,326,325,269,1,/m/0127xk,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0bp_b2
0,0,14,10,42,36,115,0,/m/011yr9,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/01vrt_c
0,0,0,0,1,0,79,0,/m/0190y4,/people/ethnicity/people,/m/011zd3
1,0,145,144,204,203,146,1,/m/012q4n,/people/person/profession,/m/0q04f
0,0,0,0,0,0,99,0,/m/011v3,/people/person/gender,/m/02zsn
1,0,120,26,194,167,227,0,/m/0127gn,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/0126hc
1,0,29,28,56,55,30,1,/m/013pp3,/influence/influence_node/influenced_by,/m/040_t
1,0,35,34,70,69,36,1,/m/011ysn,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/0215hd
0,0,0,0,0,0,8,0,/m/012j5h,/music/artist/contribution./music/recording_contribution/performance_role,/m/0132_h
1,0,81,80,119,118,82,1,/m/013q0p,/film/film/genre,/m/0gf28
1,0,268,72,326,318,146,0,/m/012rng,/people/person/profession,/m/02lp0w
1,0,82,80,124,119,82,1,/m/011yfd,/film/film/genre,/m/07s9rl0
1,0,12,11,13,12,13,1,/m/012qjw,/medicine/symptom/symptom_of,/m/011zdm
1,0,119,118,233,232,120,1,/m/013rds,/common/topic/webpage./common/webpage/category,/m/08mbj5d
0,0,0,0,0,0,39,0,/m/0gghm,/film/film/language,/m/03_9r
1,0,268,267,326,325,269,1,/m/013w8y,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02wh75
1,0,41,16,87,75,68,0,/m/011yqc,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/0b478
0,0,83,0,142,95,68,0,/m/01d30f,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/09c7w0
2,0,174,111,303,245,112,1,/m/0136pk,/people/person/nationality,/m/09c7w0
1,0,45,21,144,85,23,1,/m/0140t7,/people/person/languages,/m/02h40lc
1,0,68,67,109,108,69,1,/m/0137g1,/music/artist/track_contributions./music/track_contribution/role,/m/0l15bq
1,0,72,71,126,125,73,1,/m/013rds,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj
0,0,32,21,85,74,118,0,/m/036k0s,/award/award_winner/awards_won./award/award_honor/award_winner,/m/02g5h5
2,0,119,114,170,169,115,1,/m/011yxg,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/094wz7q
0,0,10,10,50,49,227,0,/m/0flw86,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01cbt3
1,0,118,56,214,177,58,1,/m/0134s5,/music/artist/origin,/m/06y57
1,0,21,20,52,51,22,1,/m/011kn2,/organization/organization/headquarters./location/mailing_address/citytown,/m/05ksh
0,0,0,0,5,5,269,0,/m/01dnws,/award/award_nominee/award_nominations./award/award_nomination/award,/m/03r00m
0,0,0,0,0,0,40,0,/m/0125xq,/film/film/written_by,/m/035482
0,0,17,0,98,22,33,0,/m/010tkc,/location/hud_county_place/county,/m/011ydl
1,0,44,43,56,55,45,1,/m/010r6f,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
0,0,0,0,16,16,8,0,/m/01ypsj,/film/actor/film./film/performance/special_performance_type,/m/01pb34
2,0,125,114,177,175,115,1,/m/0124k9,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/02js_6
0,0,0,0,9,9,146,0,/m/09cm54,/people/person/profession,/m/02hrh1q
1,0,268,267,326,325,269,1,/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02grdc
1,0,145,144,204,203,146,0,/m/01b30l,/people/person/profession,/m/018gz8
0,0,0,0,0,0,17,0,/m/014zws,/film/film/executive_produced_by,/m/05hj_k
1,0,119,118,233,232,120,1,/m/010bnr,/common/topic/webpage./common/webpage/category,/m/08mbj5d
0,0,12,12,49,48,44,0,/m/0134pk,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/062dn7
0,0,5,5,18,17,48,0,/m/0_3cs,/location/location/time_zones,/m/02fqwt
0,0,0,0,0,0,10,0,/m/0187nd,/people/deceased_person/place_of_burial,/m/018mm4
1,0,41,37,111,81,39,1,/m/011yrp,/film/film/language,/m/02h40lc
2,0,251,226,308,305,227,1,/m/011zf2,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/03_0p
1,0,229,225,285,284,227,1,/m/01438g,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/086sj
0,0,4,0,40,5,12,0,/m/0135dr,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,/m/05r4w
2,0,74,24,115,109,146,0,/m/01386_,/people/person/profession,/m/07y_7
1,0,145,144,208,203,146,1,/m/013km,/people/person/profession,/m/02ynfr
1,0,110,109,150,149,111,0,/m/011yd2,/award/award_winning_work/awards_won./award/award_honor/award,/m/03y8cbv
0,0,6,3,37,36,118,0,/m/01vw8mh,/award/award_winner/awards_won./award/award_honor/award_winner,/m/01vw20h
0,0,0,0,7,7,68,0,/m/037mh8,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/06npd
0,0,0,0,1,1,99,0,/m/0hsb3,/people/person/gender,/m/02zsn
3,0,142,45,259,157,44,1,/m/0109vk,/location/hud_county_place/place,/m/0109vk
0,0,0,0,5,3,19,0,/m/0134bf,/location/administrative_division/country,/m/01cv3n
1,0,56,55,64,63,57,1,/m/013y1f,/music/performance_role/regular_performances./music/group_membership/role,/m/05kms
1,0,47,46,65,64,48,1,/m/0108xl,/location/location/time_zones,/m/02fqwt
2,0,226,149,322,302,150,1,/m/013w7j,/people/person/places_lived./people/place_lived/location,/m/013yq
0,0,0,0,6,1,45,0,/m/0100mt,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/02f5qb
1,0,46,38,95,76,40,1,/m/011yd2,/film/film/production_companies,/m/016tw3
1,0,41,37,118,81,39,1,/m/012gk9,/film/film/language,/m/02h40lc
1,0,44,43,56,55,45,1,/m/010t4v,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
0,0,1,0,8,2,125,0,/m/011k1h,/music/record_label/artist,/m/06b7s9
0,0,0,0,10,10,82,0,/m/0c6qh,/film/film/genre,/m/05p553
0,0,7,0,49,16,51,0,/m/011xy1,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/0_24q
1,0,1,0,5,4,2,1,/m/012m_,/location/country/form_of_government,/m/01q20
1,0,39,38,70,69,40,1,/m/011yqc,/film/film/production_companies,/m/0c41qv
1,0,268,267,326,325,269,0,/m/0133x7,/award/award_nominee/award_nominations./award/award_nomination/award,/m/05zr6wv
0,0,0,0,3,3,227,0,/m/03w5xm,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01mqc_
0,0,1,1,9,8,51,0,/m/01jsk6,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/0193x
1,0,68,5,184,104,7,1,/m/011k1h,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,/m/09c7w0
1,0,149,148,177,176,150,1,/m/011j5x,/music/genre/artists,/m/02cpp
1,0,89,88,128,127,90,1,/m/012wyq,/location/location/contains,/m/014b4h
0,0,13,0,41,33,44,0,/m/0127m7,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/02vnpv
1,0,74,73,82,81,75,1,/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/014zws
0,0,0,0,2,1,45,0,/m/013mzh,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0qmny
0,0,0,0,0,0,10,0,/m/013xh7,/soccer/football_team/current_roster./sports/sports_team_roster/position,/m/0154qm
1,0,89,88,128,127,90,1,/m/0134bf,/location/location/contains,/m/013t85
0,0,0,0,4,4,172,0,/m/07b_l,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/014gjp
1,0,89,88,128,127,90,1,/m/013ksx,/location/location/contains,/m/0bthb
2,0,251,226,308,305,227,0,/m/030xr_,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/030_3z
0,0,0,0,3,3,146,0,/m/07zrf,/people/person/profession,/m/02hrh1q
2,0,82,42,171,129,43,1,/m/011x_4,/film/film/country,/m/09c7w0
0,0,0,0,1,1,75,0,/m/04y8r,/education/educational_degree/people_with_this_degree./education/education/institution,/m/07w0v
1,0,273,267,350,330,269,1,/m/012vct,/award/award_nominee/award_nominations./award/award_nomination/award,/m/040njc
1,0,110,109,150,149,111,1,/m/011yd2,/award/award_winning_work/awards_won./award/award_honor/award,/m/0k611
0,0,2,0,36,15,111,0,/m/01336l,/award/award_winning_work/awards_won./award/award_honor/award,/m/0gqyl
1,0,149,148,227,226,150,1,/m/01304j,/people/person/places_lived./people/place_lived/location,/m/0pswc
1,0,78,77,106,105,79,1,/m/013xrm,/people/ethnicity/people,/m/05p92jn
2,0,74,68,115,113,69,1,/m/0130sy,/music/artist/track_contributions./music/track_contribution/role,/m/03m5k
0,0,14,0,33,17,73,0,/m/0137g1,/people/person/spouse_s./people/marriage/type_of_union,/m/0mlzk
1,0,74,73,82,81,75,1,/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/0187nd
1,0,44,41,109,92,43,1,/m/011yxy,/film/film/country,/m/0d0vqn
1,0,268,267,326,325,269,1,/m/0134wr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02nhxf
1,0,110,109,150,149,111,1,/m/011yqc,/award/award_winning_work/awards_won./award/award_honor/award,/m/09d28z
1,0,24,23,50,49,25,1,/m/013m4v,/location/location/adjoin_s./location/adjoining_relationship/adjoins,/m/0f2rq
0,0,18,18,55,54,69,0,/m/07cbcy,/music/artist/track_contributions./music/track_contribution/role,/m/05r5c
0,0,0,0,13,0,14,0,/m/012v1t,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,/m/01gp_d
1,0,82,77,103,89,79,1,/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/0l15bq
1,0,24,23,50,49,25,1,/m/013h9,/location/location/adjoin_s./location/adjoining_relationship/adjoins,/m/0mpbx
0,0,0,0,5,4,90,0,/m/012m_,/location/location/contains,/m/0c41qv
2,0,95,78,115,101,79,1,/m/011k_j,/music/performance_role/track_performances./music/track_contribution/role,/m/042v_gx
0,0,26,26,77,76,227,0,/m/0dtfn,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/086sj
1,0,145,144,204,203,146,1,/m/011lpr,/people/person/profession,/m/0dxtg
0,0,5,0,31,9,57,0,/m/07n3s,/music/performance_role/regular_performances./music/group_membership/role,/m/03m5k
1,0,149,148,177,176,150,1,/m/011j5x,/music/genre/artists,/m/04_jsg
1,0,268,267,326,325,269,1,/m/0135xb,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01c92g
0,0,12,0,40,36,237,0,/m/0140t7,/film/actor/film./film/performance/film,/m/0259r0
0,0,0,0,18,2,18,0,/m/011ypx,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,/m/0214km
0,0,0,0,0,0,57,0,/m/034x61,/music/performance_role/regular_performances./music/group_membership/role,/m/01hww_
0,0,4,3,38,32,125,0,/m/014knw,/music/record_label/artist,/m/03fbc
0,0,27,4,55,52,112,0,/m/014488,/people/person/nationality,/m/01vswx5
0,0,0,0,4,4,79,0,/m/01279v,/people/ethnicity/people,/m/01dvtx
0,0,44,38,96,92,146,0,/m/013v5j,/people/person/profession,/m/01rr9f
0,0,3,3,29,28,269,0,/m/01hmk9,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f73p
1,0,149,148,177,176,150,1,/m/012yc,/music/genre/artists,/m/011z3g
0,0,0,0,15,14,115,0,/m/05842k,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/016tt2
0,0,0,0,1,0,79,0,/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/06b_j
0,0,0,0,0,0,111,0,/m/011zdm,/award/award_winning_work/awards_won./award/award_honor/award,/m/054krc
1,0,35,34,70,69,36,1,/m/011yxg,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/02r96rf
0,0,2,2,27,24,79,0,/m/013xrm,/people/ethnicity/people,/m/01c427
1,0,236,235,300,299,237,1,/m/013w7j,/film/actor/film./film/performance/film,/m/05_5_22
0,0,64,9,133,104,112,0,/m/0144l1,/people/person/nationality,/m/011yxy
0,0,43,0,98,53,36,0,/m/011ysn,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/02nbqh
1,0,268,267,326,325,269,1,/m/0137n0,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02gdjb
0,0,81,22,138,119,58,0,/m/0gkts9,/music/artist/origin,/m/0d6lp
2,0,124,39,175,168,40,1,/m/011ypx,/film/film/written_by,/m/0169dl
1,0,145,123,204,179,125,1,/m/011k1h,/music/record_label/artist,/m/03j24kf
0,0,0,0,2,2,111,0,/m/0p8h0,/award/award_winning_work/awards_won./award/award_honor/award,/m/099cng
0,0,8,4,43,36,112,0,/m/01q99h,/people/person/nationality,/m/09c7w0
3,0,124,57,163,129,57,1,/m/013y1f,/music/performance_role/regular_performances./music/group_membership/role,/m/03qjg
1,0,89,88,132,127,90,0,/m/012wgb,/location/location/contains,/m/020d8d
2,0,130,42,252,177,43,1,/m/011ysn,/film/film/country,/m/09c7w0
1,0,119,118,233,232,120,1,/m/012x4t,/common/topic/webpage./common/webpage/category,/m/08mbj5d
0,0,0,0,24,24,150,0,/m/011j5x,/music/genre/artists,/m/0dl6fv
0,0,8,1,42,31,237,0,/m/012c6x,/film/actor/film./film/performance/film,/m/032t2z
0,0,26,26,58,57,125,0,/m/01271h,/music/record_label/artist,/m/04b7xr
1,0,268,267,326,325,269,1,/m/0137hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/054ks3
1,0,98,97,153,152,99,1,/m/010p3,/people/person/gender,/m/05zppz
1,0,145,144,204,203,146,1,/m/013zyw,/people/person/profession,/m/01d30f
1,0,98,97,153,152,99,1,/m/01200d,/people/person/gender,/m/05zppz
1,0,110,109,150,149,111,1,/m/0124k9,/award/award_winning_work/awards_won./award/award_honor/award,/m/027gs1_
0,0,0,0,3,3,8,0,/m/09b6zr,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,/m/043zg
1,0,68,67,109,108,69,1,/m/0133x7,/music/artist/track_contributions./music/track_contribution/role,/m/0979zs
1,0,149,148,177,176,150,1,/m/0133_p,/music/genre/artists,/m/03d9d6
1,0,226,225,282,281,227,1,/m/014488,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/014gf8
1,0,39,15,70,67,38,0,/m/011yth,/film/film/music,/m/05mgj0
1,0,2,1,16,15,3,1,/m/010p3,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,/m/06hwzy
1,0,268,267,326,325,269,0,/m/012x1l,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f73b
1,0,27,13,78,64,68,0,/m/011yrp,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/0cv3w
3,0,124,79,163,129,79,1,/m/013y1f,/music/performance_role/track_performances./music/track_contribution/role,/m/05r5c
0,0,0,0,7,3,23,0,/m/01zv_,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,/m/09nqf
1,0,226,225,282,281,227,1,/m/013knm,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01tfck
0,0,102,45,167,150,146,0,/m/012201,/people/person/profession,/m/0d_wms
2,0,81,23,121,87,24,1,/m/013y1f,/music/performance_role/guest_performances./music/recording_contribution/performance_role,/m/0239kh
1,0,68,67,109,108,69,1,/m/0137g1,/music/artist/track_contributions./music/track_contribution/role,/m/07brj
2,0,336,171,411,404,172,1,/m/01438g,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/0294zg
0,0,1,1,8,7,15,0,/m/065y4w7,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,/m/09nqf
0,0,0,0,2,1,4,0,/m/011s0,/people/profession/specialization_of,/m/0g2lq
2,0,184,171,253,252,172,1,/m/012rng,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/0170_p
1,0,82,80,124,119,82,1,/m/011yth,/film/film/genre,/m/07s9rl0
0,0,7,7,30,29,115,0,/m/01tfck,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/02q42j_
0,0,44,38,100,92,146,0,/m/01386_,/people/person/profession,/m/0170s4
1,0,119,118,233,232,120,1,/m/0146mv,/common/topic/webpage./common/webpage/category,/m/08mbj5d
